Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms)
2022-08-03,67,617.878588191121,3413.1949722766876,18.0,18,0.5655005142096317,1.4599322080612183,0.2985638380050659,5364,52.0,52.0,52.0,,3889928,,
2022-08-04,41,1394.8828131844753,1699.7678028345108,,,0.40224853971613334,1.1603931188583374,0.2573826313018799,3125,,,,,1343690,,
2022-08-05,6,1351.6923862936449,234.16927099227905,,,0.3732000545735951,0.8721392750740051,0.2882685363292694,616,,,,,246274,,
2022-08-06,3,1347.2697294972584,126.63225746154785,,,0.34126331024244483,0.42822763323783875,0.2676779329776764,506,,,,,133899,,
2022-08-07,42,1429.7567331491555,2211.8266818523407,12.0,12,0.42607061439798105,1.2101466655731201,0.2573826313018799,3610,,,,,1990308,101564,
2022-08-08,21,1372.8330655153482,901.2443350553513,,,0.38900002614499507,1.0415124893188477,0.2676779329776764,1828,,,,,783432,,
2022-08-09,44,1341.9998530009536,1534.8363771438599,,,0.3709943036168607,0.8319438695907593,0.2624865472316742,2765,,,,,,,
2022-08-10,10,1341.9999817842931,555.9465003013611,,,0.3198155459452493,0.6458309888839722,0.2573826313018799,1168,,,,,,,
2022-08-11,35,1411.5981396504596,1284.6022307872772,2.0,2,0.4608401862222156,1.1866722106933594,0.25334376096725464,2222,,,,,1768405,,
2022-08-12,41,1376.4775720176247,1503.2777004241943,1.0,1,0.49607440376649925,1.2735579013824463,0.2885250151157379,2854,,,,,876036,,
2022-08-13,22,1379.7630318979566,1012.5913599729538,,,0.38699090327973285,1.3174309730529785,0.2676779329776764,1915,,,,,959516,,
2022-08-14,47,1434.2605558490145,1756.7928714752197,,,0.473719009300623,1.225378394126892,0.2573826313018799,3336,,,,,2344231,,
2022-08-15,7,1341.999911110886,248.88281071186066,,,0.60147283451273,1.015606164932251,0.2779732346534729,660,,,,,,,
2022-08-16,49,1495.0683692894625,1234.5878034830093,10.0,10,0.4238249626577663,1.0303689241409302,0.26233789324760437,2516,51.29999923706055,51.29999923706055,51.29999923706055,,736168,,670000
